YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,9.1,,,0.7,7.8,10.4,2805,Overall,All Races,65 Years and Older,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,4AGE,6RAC,6EDU,BRF23,23
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,30.7,,,3.0,24.8,36.6,435,Overall,All Races,Age 20 and Older,< 12th Grade,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,3EDU,BRF24,24
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,14.8,,,0.7,13.4,16.2,4632,Overall,All Races,Age 20 and Older,> 12th Grade,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,5EDU,BRF24,24
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,22.6,,,1.1,20.5,24.7,2557,Overall,All Races,Age 20 and Older,12th Grade,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,4EDU,BRF24,24
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,31.9,,,3.1,25.8,38.0,424,Overall,All Races,Age 25 and Older,< 12th Grade,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,7AGE,6RAC,3EDU,BRF24,24
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,14.5,,,0.7,13.1,15.9,4453,Overall,All Races,Age 25 and Older,> 12th Grade,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,7AGE,6RAC,5EDU,BRF24,24
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,22.6,,,1.1,20.5,24.7,2482,Overall,All Races,Age 25 and Older,12th Grade,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,7AGE,6RAC,4EDU,BRF24,24
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,18.5,,,0.6,17.3,19.7,7751,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,8AGE,6RAC,6EDU,BRF20,20
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,,*,Data in these cells have been suppressed because of a small sample size,,,,,Overall,American Indian/Alaska Native,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,8AGE,2RAC,6EDU,BRF22,22
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,17.9,,,6.4,5.4,30.4,60,Overall,Asian/Pacific Islander,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,8AGE,3RAC,6EDU,BRF22,22
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,17.6,,,3.6,10.6,24.6,205,Overall,Hispanic,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,8AGE,4RAC,6EDU,BRF22,22
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,18.1,,,0.6,16.9,19.3,7228,Overall,White,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,110CSA,1GEN,8AGE,5RAC,6EDU,BRF22,22
2014,IA,Iowa,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,55.0,,,1.7,51.8,58.2,1685,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,101BEH,169QUP,3GEN,8AGE,6RAC,6EDU,BRF07,7
2014,IA,Iowa,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,60.6,,,1.5,57.6,63.6,1691,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,101BEH,169QUP,2GEN,8AGE,6RAC,6EDU,BRF06,6
2014,IA,Iowa,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,58.1,,,1.1,55.9,60.3,3376,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,101BEH,169QUP,1GEN,8AGE,6RAC,6EDU,BRF05,5
2014,IA,Iowa,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,48.7,,,3.0,42.8,54.6,460,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,101BEH,167QUA,3GEN,8AGE,6RAC,6EDU,BRF10,10
2014,IA,Iowa,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,46.7,,,3.0,40.9,52.5,433,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,101BEH,167QUA,2GEN,8AGE,6RAC,6EDU,BRF09,9
2014,IA,Iowa,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,47.6,,,2.1,43.4,51.8,893,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,101BEH,167QUA,1GEN,8AGE,6RAC,6EDU,BRF08,8
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,28.6,,,2.6,23.5,33.7,614,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,71.4,,,2.6,66.3,76.5,614,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,76.9,,,2.3,72.5,81.3,551,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,74.3,,,1.7,70.9,77.7,1165,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,1GEN,8AGE,6RAC,6EDU,BRF25,25
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,23.1,,,2.3,18.7,27.5,551,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,25.7,,,1.7,22.3,29.1,1165,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,166SSP,1GEN,8AGE,6RAC,6EDU,BRF26,26
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,17.2,,,0.8,15.6,18.8,4506,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF27,27
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,19.9,,,0.9,18.1,21.7,3245,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,18.5,,,0.6,17.3,19.7,7751,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,1GEN,8AGE,6RAC,6EDU,BRF27,27
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,21.0,,,0.8,19.5,22.5,4506,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF28,28
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,30.6,,,1.0,28.7,32.5,3245,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,25.7,,,0.6,24.5,26.9,7751,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,1GEN,8AGE,6RAC,6EDU,BRF28,28
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,61.9,,,1.0,60.0,63.8,4506,Female,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF29,29
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,49.6,,,1.1,47.4,51.8,3245,Male,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF29,29
2014,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,55.9,,,0.7,54.4,57.4,7751,Overall,All Races,All Ages,All Grades,"(42.46940091300047, -93.81649055599968)",BEH,100BEH,165SSA,1GEN,8AGE,6RAC,6EDU,BRF29,29
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,19.2,,,1.0,17.2,21.2,1984,Female,All Races,18 to 44 Years,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,3GEN,5AGE,6RAC,6EDU,BRF45,45
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,16.7,,,0.6,15.6,17.8,7544,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,25.5,,,2.5,20.7,30.3,493,Overall,African American,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,8AGE,1RAC,6EDU,BRF22,22
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,18.0,,,1.4,15.2,20.8,830,Overall,All Races,18 to 24 Years,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,1AGE,6RAC,6EDU,BRF23,23
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,21.9,,,0.9,20.1,23.7,2940,Overall,All Races,25 to 44 Years,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,2AGE,6RAC,6EDU,BRF23,23
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,19.1,,,0.6,17.8,20.4,5149,Overall,All Races,45 to 64 Years,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,3AGE,6RAC,6EDU,BRF23,23
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,9.9,,,0.5,8.8,11.0,4244,Overall,All Races,65 Years and Older,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,4AGE,6RAC,6EDU,BRF23,23
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,31.8,,,2.0,27.8,35.8,755,Overall,All Races,Age 20 and Older,< 12th Grade,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,3EDU,BRF24,24
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,13.4,,,0.5,12.5,14.3,8579,Overall,All Races,Age 20 and Older,> 12th Grade,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,5EDU,BRF24,24
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,24.9,,,0.9,23.2,26.6,3563,Overall,All Races,Age 20 and Older,12th Grade,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,4EDU,BRF24,24
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,30.4,,,2.0,26.4,34.4,724,Overall,All Races,Age 25 and Older,< 12th Grade,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,7AGE,6RAC,3EDU,BRF24,24
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,13.6,,,0.5,12.7,14.5,8196,Overall,All Races,Age 25 and Older,> 12th Grade,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,7AGE,6RAC,5EDU,BRF24,24
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,24.0,,,0.9,22.2,25.8,3392,Overall,All Races,Age 25 and Older,12th Grade,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,7AGE,6RAC,4EDU,BRF24,24
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,18.1,,,0.4,17.3,18.9,13163,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,8AGE,6RAC,6EDU,BRF20,20
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,35.1,,,4.9,25.6,44.6,139,Overall,American Indian/Alaska Native,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,8AGE,2RAC,6EDU,BRF22,22
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,10.6,,,3.0,4.7,16.5,152,Overall,Asian/Pacific Islander,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,8AGE,3RAC,6EDU,BRF22,22
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,14.2,,,1.5,11.3,17.1,719,Overall,Hispanic,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,8AGE,4RAC,6EDU,BRF22,22
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,17.5,,,0.5,16.6,18.4,11265,Overall,White,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,110CSA,1GEN,8AGE,5RAC,6EDU,BRF22,22
2014,KS,Kansas,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,55.3,,,1.2,53.0,57.6,2827,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,101BEH,169QUP,3GEN,8AGE,6RAC,6EDU,BRF07,7
2014,KS,Kansas,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,57.7,,,1.1,55.4,60.0,2728,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,101BEH,169QUP,2GEN,8AGE,6RAC,6EDU,BRF06,6
2014,KS,Kansas,Tobacco Use – Survey Data,Cessation (Adults),Percent of Former Smokers Among Ever Smokers,BRFSS,,%,Percentage,56.7,,,0.8,55.1,58.3,5555,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,101BEH,169QUP,1GEN,8AGE,6RAC,6EDU,BRF05,5
2014,KS,Kansas,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,50.7,,,2.2,46.5,54.9,766,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,101BEH,167QUA,3GEN,8AGE,6RAC,6EDU,BRF10,10
2014,KS,Kansas,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,50.1,,,2.2,45.7,54.5,732,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,101BEH,167QUA,2GEN,8AGE,6RAC,6EDU,BRF09,9
2014,KS,Kansas,Tobacco Use – Survey Data,Cessation (Adults),Quit Attempt in Past Year Among Every Day Cigarette Smokers,BRFSS,,%,Percentage,50.4,,,1.6,47.3,53.5,1498,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,101BEH,167QUA,1GEN,8AGE,6RAC,6EDU,BRF08,8
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,72.4,,,1.7,69.0,75.8,1048,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,72.6,,,1.7,69.2,76.0,988,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,72.5,,,1.2,70.1,74.9,2036,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,166SSP,1GEN,8AGE,6RAC,6EDU,BRF25,25
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,27.6,,,1.7,24.2,31.0,1048,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,27.4,,,1.7,24.0,30.8,988,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,27.5,,,1.2,25.1,29.9,2036,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,166SSP,1GEN,8AGE,6RAC,6EDU,BRF26,26
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,16.7,,,0.6,15.6,17.8,7544,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF27,27
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,19.5,,,0.7,18.2,20.8,5619,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,18.1,,,0.4,17.3,18.9,13163,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,1GEN,8AGE,6RAC,6EDU,BRF27,27
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,20.6,,,0.5,19.5,21.7,7544,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF28,28
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,26.7,,,0.7,25.4,28.0,5619,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,23.6,,,0.4,22.8,24.4,13163,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,1GEN,8AGE,6RAC,6EDU,BRF28,28
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,62.7,,,0.7,61.3,64.1,7544,Female,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF29,29
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,53.7,,,0.8,52.1,55.3,5619,Male,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF29,29
2014,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Never,%,Percentage,58.3,,,0.5,57.3,59.3,13163,Overall,All Races,All Ages,All Grades,"(38.34774030000045, -98.20078122699965)",BEH,100BEH,165SSA,1GEN,8AGE,6RAC,6EDU,BRF29,29
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,28.6,,,1.7,25.2,32.0,1447,Female,All Races,18 to 44 Years,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,3GEN,5AGE,6RAC,6EDU,BRF45,45
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,25.2,,,0.9,23.4,27.0,7044,Female,All Races,All Ages,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,3GEN,8AGE,6RAC,6EDU,BRF21,21
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,27.2,,,1.2,24.8,29.6,3723,Male,All Races,All Ages,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,2GEN,8AGE,6RAC,6EDU,BRF21,21
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,29.7,,,3.7,22.5,36.9,967,Overall,African American,All Ages,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,8AGE,1RAC,6EDU,BRF22,22
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,24.4,,,2.6,19.4,29.4,417,Overall,All Races,18 to 24 Years,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,1AGE,6RAC,6EDU,BRF23,23
2013,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,22.8,,,0.7,21.5,24.1,9882,Overall,White,All Ages,All Grades,"(40.06021014100048, -82.40426005599966)",BEH,100BEH,110CSA,1GEN,8AGE,5RAC,6EDU,BRF22,22
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,33.7,,,1.6,30.5,36.9,1957,Overall,All Races,25 to 44 Years,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,2AGE,6RAC,6EDU,BRF23,23
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,27.4,,,1.1,25.3,29.5,4614,Overall,All Races,45 to 64 Years,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,3AGE,6RAC,6EDU,BRF23,23
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,12.4,,,0.9,10.7,14.1,3779,Overall,All Races,65 Years and Older,All Grades,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,4AGE,6RAC,6EDU,BRF23,23
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,42.5,,,2.6,37.5,47.5,1127,Overall,All Races,Age 20 and Older,< 12th Grade,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,3EDU,BRF24,24
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,19.4,,,0.9,17.7,21.1,5989,Overall,All Races,Age 20 and Older,> 12th Grade,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,5EDU,BRF24,24
2014,KY,Kentucky,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking,BRFSS,,%,Percentage,29.0,,,1.3,26.5,31.5,3524,Overall,All Races,Age 20 and Older,12th Grade,"(37.645970271000465, -84.77497104799966)",BEH,100BEH,110CSA,1GEN,6AGE,6RAC,4EDU,BRF24,24
